replay_spec,forecast_cycle,cycle,race_id,district_id,state,district,chamber,election_date,election_type,actual_dem_margin,actual_winner,include_in_major_party_margin_scoring,major_party_contested,general_election_party_structure,uncontested,uncontested_dem,uncontested_gop,dem_candidate,gop_candidate,dem_vote_total,gop_vote_total,other_vote_total,total_vote,dem_vote_share,gop_vote_share,district_pres_margin_dem,presidential_result_year,boundary_cycle,boundary_compatibility,baseline_selection_method,generic_ballot_margin_dem,presidential_approval,presidential_disapproval,presidential_net_approval,president_party,national_environment_margin_dem,environment_as_of_date,environment_formula_version,incumbent_configuration,incumbent_party,incumbency_adjustment_dem,dem_incumbent,gop_incumbent,double_incumbent_race,open_seat,results_available,presidential_baseline_feature_available,national_environment_feature_available,candidate_registry_feature_available,district_dna_joined_in_canonical_inputs,district_elasticity_joined_in_canonical_inputs,learned_district_features_required_oof,canonical_feature_set_complete,include_in_presidential_baseline_backtest,include_in_environment_backtest,include_in_incumbency_backtest,include_in_canonical_margin_backtest,approval_adjustment_dem,approval_coefficient,approval_contribution_dem,approval_source,candidate_registry_available,dem_candidate_name_canonical,dem_candidate_name_fec,dem_candidate_name_mit,dem_candidate_registry_source_file,dem_candidate_uid,dem_candidate_vote_share,dem_candidate_vote_total,dem_fec_candidate_id,dem_fec_candidate_status,dem_incumbent_challenger_status,dem_is_challenger,dem_is_incumbent,dem_is_open_seat_candidate,dem_match_method,dem_match_reason,dem_match_score,dem_presidential_candidate,dem_presidential_share,dem_principal_campaign_committee_id,environment_notes,environment_snapshot_label,environment_source_path,generic_ballot_coefficient,generic_ballot_contribution_dem,generic_ballot_source,gop_candidate_name_canonical,gop_candidate_name_fec,gop_candidate_name_mit,gop_candidate_registry_source_file,gop_candidate_uid,gop_candidate_vote_share,gop_candidate_vote_total,gop_fec_candidate_id,gop_fec_candidate_status,gop_incumbent_challenger_status,gop_is_challenger,gop_is_incumbent,gop_is_open_seat_candidate,gop_match_method,gop_match_reason,gop_match_score,gop_presidential_candidate,gop_presidential_share,gop_principal_campaign_committee_id,has_dem_candidate,has_gop_candidate,major_party_share_total,midterm_adjustment_dem,midterm_coefficient,midterm_contribution_dem,named_candidate_count,named_dem_count,named_gop_count,named_other_count,other_candidates,presidential_baseline_available,presidential_baseline_source_boundary_description,presidential_baseline_source_file,presidential_baseline_source_name,presidential_baseline_warehouse_version,presidential_result_available,retrieved_date,source_name,source_url,special_handling_notes,candidate_quality_weight,candidate_war_adjustment_dem,candidate_quality_contribution_dem,candidate_quality_adjustment_dem,model_margin_dem,total_error_sd_used,dem_win_probability,actual_dem_win,predicted_dem_win,correct_winner,margin_error,abs_margin_error,squared_margin_error,brier_score,include_in_scoring,party_control_fixed,poll_count,total_error_sd,uncertainty_days_out,national_error_sd,region_error_sd,demographic_error_sd,district_error_sd,effective_district_error_sd
canonical_fixed_6_5,2016,2016,AK-AL,AK-AL,AK,AL,House,2016-11-08,General,-14.29892472,R,True,True,D_vs_R,False,False,False,STEVE LINDBECK,DON YOUNG,111019,155088,42091,308198,36.02197289,50.3208976,-14.1,2012,2016,same_election_boundary_set,most_recent_completed_presidential_election_on_target_house_boundaries,0.6,53.0,45.0,8.0,D,0.54,2016-11-08,generic_ballot_only_0_90_v1,R,R,-2.25,False,True,False,False,True,True,True,True,False,False,True,True,True,True,True,True,2.666666667,0,0,"Gallup presidential job approval, 2016-10-31 through 2016-11-06",True,STEVE LINDBECK,"LINDBECK, STEVE",STEVE LINDBECK,historical/house/processed/house_candidate_registry_2016.csv,HOUSE_2016_AK_AL_D_STEVE_LINDBECK,0.3602197289,111019.0,H6AK00235,C,,False,False,False,high_confidence_automatic,last_exact+first_match+token_overlap+scope_same_race,100.0,Obama,41.2,C00615302,Validated shared production environment: 0.90 × Democratic generic-ballot margin; approval and standalone midterm components retired.,election_day,historical/warehouse/processed/national_environment/house_2016_election_day_national_environment.csv,0.9,0.54,RealClearPolitics final 2016 generic congressional ballot average,DON YOUNG,"YOUNG, DONALD E",DON YOUNG,historical/house/processed/house_candidate_registry_2016.csv,HOUSE_2016_AK_AL_R_DON_YOUNG,0.503208976,155088.0,H6AK00045,C,I,False,True,False,high_confidence_automatic,last_exact+first_match+scope_same_race,88.75,Romney,55.3,C00012229,True,True,96.5,0,0,0,4,1,1,2,BERNIE SOUPHANAVONG | JIM C MCDERMOTT,True,Congressional district lines used in the 2016 elections,presidential_results_on_2016_districts.csv,Daily Kos Elections presidential results by congressional district,1,True,2026-07-15,"MIT Election Data and Science Lab, U.S. House 1976-2024",doi:10.7910/DVN/IG0UN2,,0.0,0.0,0.0,0.0,-15.809999999999999,6.5,0.08074201815452264,False,False,True,-1.5110752799999982,1.5110752799999982,2.283348501827073,0.006519273495665264,True,,,,,,,,,
canonical_fixed_6_5,2016,2016,AL-1,AL-1,AL,1,House,2016-11-08,General,-96.38246724,R,False,False,R_unopposed,True,False,True,,BRADLEY BYRNE,0,208083,7810,215893,0.0,96.38246724,-24.4,2012,2016,same_election_boundary_set,most_recent_completed_presidential_election_on_target_house_boundaries,0.6,53.0,45.0,8.0,D,0.54,2016-11-08,generic_ballot_only_0_90_v1,R,R,-2.25,False,True,False,False,True,True,True,True,False,False,True,True,False,False,False,False,2.666666667,0,0,"Gallup presidential job approval, 2016-10-31 through 2016-11-06",True,,,,,,,,,,,,,,,,,Obama,37.4,,Validated shared production environment: 0.90 × Democratic generic-ballot margin; approval and standalone midterm components retired.,election_day,historical/warehouse/processed/national_environment/house_2016_election_day_national_environment.csv,0.9,0.54,RealClearPolitics final 2016 generic congressional ballot average,BRADLEY BYRNE,"BYRNE, BRADLEY ROBERTS",BRADLEY BYRNE,historical/house/processed/house_candidate_registry_2016.csv,HOUSE_2016_AL_1_R_BRADLEY_BYRNE,0.9638246724,208083.0,H4AL01123,C,I,False,True,False,high_confidence_automatic,last_exact+first_match+token_overlap+scope_same_race,95.0,Romney,61.8,C00545673,False,True,99.2,0,0,0,1,0,1,0,,True,Congressional district lines used in the 2016 elections,presidential_results_on_2016_districts.csv,Daily Kos Elections presidential results by congressional district,1,True,2026-07-15,"MIT Election Data and Science Lab, U.S. House 1976-2024",doi:10.7910/DVN/IG0UN2,Nonstandard general-election party structure: R_unopposed,0.0,0.0,0.0,0.0,-26.11,6.5,0.017689728150460313,False,False,True,70.27246724,70.27246724,4938.219651996873,0.00031292648203718804,False,,,,,,,,,
canonical_fixed_6_5,2016,2016,AL-2,AL-2,AL,2,House,2016-11-08,General,-8.24234229,R,True,True,D_vs_R,False,False,False,NATHAN MATHIS,MARTHA ROBY,112089,134886,29609,276584,40.52620542,48.76854771,-26.5,2012,2016,same_election_boundary_set,most_recent_completed_presidential_election_on_target_house_boundaries,0.6,53.0,45.0,8.0,D,0.54,2016-11-08,generic_ballot_only_0_90_v1,R,R,-2.25,False,True,False,False,True,True,True,True,False,False,True,True,True,True,True,True,2.666666667,0,0,"Gallup presidential job approval, 2016-10-31 through 2016-11-06",True,NATHAN MATHIS,"MATHIS, NATHAN",NATHAN MATHIS,historical/house/processed/house_candidate_registry_2016.csv,HOUSE_2016_AL_2_D_NATHAN_MATHIS,0.4052620542,112089.0,H6AL02167,N,C,True,False,False,high_confidence_automatic,last_exact+first_match+token_overlap+scope_same_race,100.0,Obama,36.4,C00627976,Validated shared production environment: 0.90 × Democratic generic-ballot margin; approval and standalone midterm components retired.,election_day,historical/warehouse/processed/national_environment/house_2016_election_day_national_environment.csv,0.9,0.54,RealClearPolitics final 2016 generic congressional ballot average,MARTHA ROBY,"ROBY, MARTHA",MARTHA ROBY,historical/house/processed/house_candidate_registry_2016.csv,HOUSE_2016_AL_2_R_MARTHA_ROBY,0.4876854771,134886.0,H0AL02087,C,I,False,True,False,high_confidence_automatic,last_exact+first_match+token_overlap+scope_same_race,100.0,Romney,62.9,C00462143,True,True,99.3,0,0,0,2,1,1,0,,True,Congressional district lines used in the 2016 elections,presidential_results_on_2016_districts.csv,Daily Kos Elections presidential results by congressional district,1,True,2026-07-15,"MIT Election Data and Science Lab, U.S. House 1976-2024",doi:10.7910/DVN/IG0UN2,,0.0,0.0,0.0,0.0,-28.21,6.5,0.012868764196052507,False,False,True,-19.96765771,19.96765771,398.7073544237225,0.00016560509193360294,True,,,,,,,,,
canonical_fixed_6_5,2016,2016,AL-3,AL-3,AL,3,House,2016-11-08,General,-33.99987461,R,True,True,D_vs_R,False,False,False,JESSE SMITH,MIKE ROGERS,94549,192164,391,287104,32.9319689,66.93184351,-25.5,2012,2016,same_election_boundary_set,most_recent_completed_presidential_election_on_target_house_boundaries,0.6,53.0,45.0,8.0,D,0.54,2016-11-08,generic_ballot_only_0_90_v1,R,R,-2.25,False,True,False,False,True,True,True,True,False,False,True,True,True,True,True,True,2.666666667,0,0,"Gallup presidential job approval, 2016-10-31 through 2016-11-06",True,JESSE SMITH,"SMITH, JESSE TREMAIN",JESSE SMITH,historical/house/processed/house_candidate_registry_2016.csv,HOUSE_2016_AL_3_D_JESSE_SMITH,0.329319689,94549.0,H4AL03061,C,C,True,False,False,high_confidence_automatic,last_exact+first_match+token_overlap+scope_same_race,95.0,Obama,36.8,C00569699,Validated shared production environment: 0.90 × Democratic generic-ballot margin; approval and standalone midterm components retired.,election_day,historical/warehouse/processed/national_environment/house_2016_election_day_national_environment.csv,0.9,0.54,RealClearPolitics final 2016 generic congressional ballot average,MIKE ROGERS,"ROGERS, MICHAEL DENNIS",MIKE ROGERS,historical/house/processed/house_candidate_registry_2016.csv,HOUSE_2016_AL_3_R_MIKE_ROGERS,0.6693184351,192164.0,H2AL03032,C,I,False,True,False,high_confidence_automatic,last_exact+first_match+scope_same_race,88.75,Romney,62.3,C00367862,True,True,99.1,0,0,0,2,1,1,0,,True,Congressional district lines used in the 2016 elections,presidential_results_on_2016_districts.csv,Daily Kos Elections presidential results by congressional district,1,True,2026-07-15,"MIT Election Data and Science Lab, U.S. House 1976-2024",doi:10.7910/DVN/IG0UN2,,0.0,0.0,0.0,0.0,-27.21,6.5,0.014976932934261887,False,False,True,6.789874609999998,6.789874609999998,46.10239721952263,0.00022430852011737836,True,,,,,,,,,
canonical_fixed_6_5,2016,2016,AL-4,AL-4,AL,4,House,2016-11-08,General,-98.5303453,R,False,False,R_unopposed,True,False,True,,ROBERT B ADERHOLT,0,235925,3519,239444,0.0,98.5303453,-50.8,2012,2016,same_election_boundary_set,most_recent_completed_presidential_election_on_target_house_boundaries,0.6,53.0,45.0,8.0,D,0.54,2016-11-08,generic_ballot_only_0_90_v1,R,R,-2.25,False,True,False,False,True,True,True,True,False,False,True,True,False,False,False,False,2.666666667,0,0,"Gallup presidential job approval, 2016-10-31 through 2016-11-06",True,,,,,,,,,,,,,,,,,Obama,24.0,,Validated shared production environment: 0.90 × Democratic generic-ballot margin; approval and standalone midterm components retired.,election_day,historical/warehouse/processed/national_environment/house_2016_election_day_national_environment.csv,0.9,0.54,RealClearPolitics final 2016 generic congressional ballot average,ROBERT B ADERHOLT,"ADERHOLT, ROBERT BROWN",ROBERT B ADERHOLT,historical/house/processed/house_candidate_registry_2016.csv,HOUSE_2016_AL_4_R_ROBERT_B_ADERHOLT,0.985303453,235925.0,H6AL04098,C,I,False,True,False,high_confidence_automatic,last_exact+first_match+token_overlap+scope_same_race,92.5,Romney,74.8,C00313247,False,True,98.8,0,0,0,1,0,1,0,,True,Congressional district lines used in the 2016 elections,presidential_results_on_2016_districts.csv,Daily Kos Elections presidential results by congressional district,1,True,2026-07-15,"MIT Election Data and Science Lab, U.S. House 1976-2024",doi:10.7910/DVN/IG0UN2,Nonstandard general-election party structure: R_unopposed,0.0,0.0,0.0,0.0,-52.51,6.5,0.00031005165721351944,False,False,True,46.020345299999995,46.020345299999995,2117.8721815312315,9.613203014084975e-08,False,,,,,,,,,
canonical_fixed_6_5,2016,2016,AL-5,AL-5,AL,5,House,2016-11-08,General,-33.54014906,R,True,True,D_vs_R,False,False,False,WILL BOYD JR,MO BROOKS,102234,205647,445,308326,33.15776159,66.69791065,-29.0,2012,2016,same_election_boundary_set,most_recent_completed_presidential_election_on_target_house_boundaries,0.6,53.0,45.0,8.0,D,0.54,2016-11-08,generic_ballot_only_0_90_v1,R,R,-2.25,False,True,False,False,True,True,True,True,False,False,True,True,True,True,True,True,2.666666667,0,0,"Gallup presidential job approval, 2016-10-31 through 2016-11-06",True,WILL BOYD JR,"BOYD, WILLIE ""WILL"" DR. JR.",WILL BOYD JR,historical/house/processed/house_candidate_registry_2016.csv,HOUSE_2016_AL_5_D_WILL_BOYD,0.3315776159,102234.0,H6AL05202,C,C,True,False,False,high_confidence_automatic,last_exact+alternate_given_name_match+token_overlap+scope_same_race,92.0,Obama,34.9,C00581819,Validated shared production environment: 0.90 × Democratic generic-ballot margin; approval and standalone midterm components retired.,election_day,historical/warehouse/processed/national_environment/house_2016_election_day_national_environment.csv,0.9,0.54,RealClearPolitics final 2016 generic congressional ballot average,MO BROOKS,"BROOKS, MO",MO BROOKS,historical/house/processed/house_candidate_registry_2016.csv,HOUSE_2016_AL_5_R_MO_BROOKS,0.6669791065,205647.0,H0AL05163,C,I,False,True,False,high_confidence_automatic,last_exact+first_match+token_overlap+scope_same_race,100.0,Romney,63.9,C00464149,True,True,98.8,0,0,0,2,1,1,0,,True,Congressional district lines used in the 2016 elections,presidential_results_on_2016_districts.csv,Daily Kos Elections presidential results by congressional district,1,True,2026-07-15,"MIT Election Data and Science Lab, U.S. House 1976-2024",doi:10.7910/DVN/IG0UN2,,0.0,0.0,0.0,0.0,-30.71,6.5,0.008796068951655644,False,False,True,2.8301490599999966,2.8301490599999966,8.009743701818865,7.737082900228042e-05,True,,,,,,,,,
canonical_fixed_6_5,2016,2016,AL-6,AL-6,AL,6,House,2016-11-08,General,-49.07411344,R,True,True,D_vs_R,False,False,False,DAVID J PUTNAM,GARY J PALMER,83709,245313,284,329306,25.41982229,74.49393573,-49.6,2012,2016,same_election_boundary_set,most_recent_completed_presidential_election_on_target_house_boundaries,0.6,53.0,45.0,8.0,D,0.54,2016-11-08,generic_ballot_only_0_90_v1,R,R,-2.25,False,True,False,False,True,True,True,True,False,False,True,True,True,True,True,True,2.666666667,0,0,"Gallup presidential job approval, 2016-10-31 through 2016-11-06",True,DAVID J PUTNAM,,DAVID J PUTNAM,historical/house/processed/house_candidate_registry_2016.csv,HOUSE_2016_AL_6_D_DAVID_J_PUTNAM,0.2541982229,83709.0,,,,False,False,False,unmatched,last_name_mismatch+scope_same_race,0.0,Obama,24.7,,Validated shared production environment: 0.90 × Democratic generic-ballot margin; approval and standalone midterm components retired.,election_day,historical/warehouse/processed/national_environment/house_2016_election_day_national_environment.csv,0.9,0.54,RealClearPolitics final 2016 generic congressional ballot average,GARY J PALMER,"PALMER, GARY",GARY J PALMER,historical/house/processed/house_candidate_registry_2016.csv,HOUSE_2016_AL_6_R_GARY_J_PALMER,0.7449393573,245313.0,H4AL06098,C,I,False,True,False,high_confidence_automatic,last_exact+first_match+token_overlap+scope_same_race,95.0,Romney,74.3,C00551374,True,True,99.0,0,0,0,2,1,1,0,,True,Congressional district lines used in the 2016 elections,presidential_results_on_2016_districts.csv,Daily Kos Elections presidential results by congressional district,1,True,2026-07-15,"MIT Election Data and Science Lab, U.S. House 1976-2024",doi:10.7910/DVN/IG0UN2,,0.0,0.0,0.0,0.0,-51.31,6.5,0.0003728929725490347,False,False,True,-2.2358865600000044,2.2358865600000044,4.999188709188653,1.3904916897645513e-07,True,,,,,,,,,
canonical_fixed_6_5,2016,2016,AL-7,AL-7,AL,7,House,2016-11-08,General,98.41306624,D,False,False,D_unopposed,True,True,False,TERRI A SEWELL,,229330,0,3698,233028,98.41306624,0.0,45.3,2012,2016,same_election_boundary_set,most_recent_completed_presidential_election_on_target_house_boundaries,0.6,53.0,45.0,8.0,D,0.54,2016-11-08,generic_ballot_only_0_90_v1,D,D,2.25,True,False,False,False,True,True,True,True,False,False,True,True,False,False,False,False,2.666666667,0,0,"Gallup presidential job approval, 2016-10-31 through 2016-11-06",True,TERRI A SEWELL,"SEWELL, TERRYCINA ANDREA",TERRI A SEWELL,historical/house/processed/house_candidate_registry_2016.csv,HOUSE_2016_AL_7_D_TERRI_A_SEWELL,0.9841306624,229330.0,H0AL07086,C,I,False,True,False,probable_automatic,last_exact+first_initial+scope_same_race,70.0,Obama,72.4,C00458976,Validated shared production environment: 0.90 × Democratic generic-ballot margin; approval and standalone midterm components retired.,election_day,historical/warehouse/processed/national_environment/house_2016_election_day_national_environment.csv,0.9,0.54,RealClearPolitics final 2016 generic congressional ballot average,,,,,,,,,,,,,,,,,Romney,27.1,,True,False,99.5,0,0,0,1,1,0,0,,True,Congressional district lines used in the 2016 elections,presidential_results_on_2016_districts.csv,Daily Kos Elections presidential results by congressional district,1,True,2026-07-15,"MIT Election Data and Science Lab, U.S. House 1976-2024",doi:10.7910/DVN/IG0UN2,Nonstandard general-election party structure: D_unopposed,0.0,0.0,0.0,0.0,48.089999999999996,6.5,0.9993881806783006,True,True,True,-50.32306624000001,50.32306624000001,2532.410995795429,3.743228824047173e-07,False,,,,,,,,,
canonical_fixed_6_5,2016,2016,AR-1,AR-1,AR,1,House,2016-11-08,General,-76.27807025,R,False,False,R_vs_Other,False,False,False,,"ERIC A \""RICK\"" CRAWFORD",0,183866,57181,241047,0.0,76.27807025,-24.7,2012,2016,same_election_boundary_set,most_recent_completed_presidential_election_on_target_house_boundaries,0.6,53.0,45.0,8.0,D,0.54,2016-11-08,generic_ballot_only_0_90_v1,R,R,-2.25,False,True,False,False,True,True,True,True,False,False,True,True,False,False,False,False,2.666666667,0,0,"Gallup presidential job approval, 2016-10-31 through 2016-11-06",True,,,,,,,,,,,,,,,,,Obama,36.3,,Validated shared production environment: 0.90 × Democratic generic-ballot margin; approval and standalone midterm components retired.,election_day,historical/warehouse/processed/national_environment/house_2016_election_day_national_environment.csv,0.9,0.54,RealClearPolitics final 2016 generic congressional ballot average,"ERIC A \""RICK\"" CRAWFORD","CRAWFORD, ERIC ALAN RICK","ERIC A \""RICK\"" CRAWFORD",historical/house/processed/house_candidate_registry_2016.csv,HOUSE_2016_AR_1_R_ERIC_A_RICK_CRAWFORD,0.7627807025,183866.0,H0AR01083,C,I,False,True,False,high_confidence_automatic,last_exact+first_match+token_overlap+scope_same_race,94.0,Romney,61.0,C00462374,False,True,97.3,0,0,0,2,0,1,1,MARK WEST,True,Congressional district lines used in the 2016 elections,presidential_results_on_2016_districts.csv,Daily Kos Elections presidential results by congressional district,1,True,2026-07-15,"MIT Election Data and Science Lab, U.S. House 1976-2024",doi:10.7910/DVN/IG0UN2,Nonstandard general-election party structure: R_vs_Other,0.0,0.0,0.0,0.0,-26.41,6.5,0.016905322402123925,False,False,True,49.86807025,49.86807025,2486.8244304589352,0.000285789925519753,False,,,,,,,,,
canonical_fixed_6_5,2016,2016,AR-2,AR-2,AR,2,House,2016-11-08,General,-21.53148804,R,True,True,D_vs_R,False,False,False,DIANNE CURRY,J FRENCH HILL,111347,176472,14645,302464,36.81330671,58.34479475,-11.8,2012,2016,same_election_boundary_set,most_recent_completed_presidential_election_on_target_house_boundaries,0.6,53.0,45.0,8.0,D,0.54,2016-11-08,generic_ballot_only_0_90_v1,R,R,-2.25,False,True,False,False,True,True,True,True,False,False,True,True,True,True,True,True,2.666666667,0,0,"Gallup presidential job approval, 2016-10-31 through 2016-11-06",True,DIANNE CURRY,"CURRY, DIANNE",DIANNE CURRY,historical/house/processed/house_candidate_registry_2016.csv,HOUSE_2016_AR_2_D_DIANNE_CURRY,0.3681330671,111347.0,H6AR02245,C,C,True,False,False,high_confidence_automatic,last_exact+first_match+token_overlap+scope_same_race,100.0,Obama,42.9,C00587105,Validated shared production environment: 0.90 × Democratic generic-ballot margin; approval and standalone midterm components retired.,election_day,historical/warehouse/processed/national_environment/house_2016_election_day_national_environment.csv,0.9,0.54,RealClearPolitics final 2016 generic congressional ballot average,J FRENCH HILL,"HILL, JAMES FRENCH",J FRENCH HILL,historical/house/processed/house_candidate_registry_2016.csv,HOUSE_2016_AR_2_R_J_FRENCH_HILL,0.5834479475,176472.0,H4AR02141,C,I,False,True,False,probable_automatic,last_exact+first_initial+token_overlap+scope_same_race,74.5,Romney,54.7,C00551275,True,True,97.6,0,0,0,3,1,1,1,CHRIS HAYES,True,Congressional district lines used in the 2016 elections,presidential_results_on_2016_districts.csv,Daily Kos Elections presidential results by congressional district,1,True,2026-07-15,"MIT Election Data and Science Lab, U.S. House 1976-2024",doi:10.7910/DVN/IG0UN2,,0.0,0.0,0.0,0.0,-13.510000000000002,6.5,0.1112079384467696,False,False,True,8.021488039999998,8.021488039999998,64.344270375863,0.012367205573580497,True,,,,,,,,,
